Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Scaled,MonthlyIncome_Scaled,TotalWorkingYears_Scaled,YearsAtCompany_Scaled,AgeGroup,TenureRatio,IncomeCategory
41,1,1102,1,2,2,0,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.4463504035345031,-0.08476638869339953,-0.42164245835933756,-0.16461310905422863,Middle-Aged,0.6666666666666666,Medium
49,0,279,8,1,3,1,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1.3223652142096962,-0.28307219586423016,-0.16451140099023315,0.48850772848886465,Senior,0.9090909090909091,Medium
37,1,1373,2,2,4,1,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0.008342998196906572,-0.9816233590152441,-0.5502079870438897,-1.1442943653688686,Middle-Aged,0.0,Low
33,0,1392,3,4,4,0,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,-0.42966440714069,-0.7934281607847572,-0.42164245835933756,0.16194730971731802,Middle-Aged,0.8888888888888888,Low
27,0,591,2,1,1,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,-1.0866755151470848,-0.664977469929028,-0.678773515728442,-0.8177339465973219,Young,0.2857142857142857,Low
32,0,1005,2,2,4,1,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.5391662584750891,-0.7568920966594245,-0.42164245835933756,-0.0013328996684553085,Middle-Aged,0.7777777777777778,Low
59,0,1324,3,3,3,0,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,2.4173837275536876,-0.8483471502561691,0.09261965637887129,-0.9810141559830953,Senior,0.07692307692307693,Low
30,0,1358,24,1,4,1,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.7581699611438873,-0.8430620592191713,-1.3216011591512031,-0.9810141559830953,Young,0.5,Low
38,0,216,23,3,4,1,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.11784484953130571,0.7270695519028283,-0.16451140099023315,0.32522751910309133,Middle-Aged,0.8181818181818182,High
36,0,1299,27,3,3,1,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,-0.10115885313749257,-0.2584850332138491,0.7354472998016324,-0.0013328996684553085,Middle-Aged,0.3888888888888889,Medium
35,0,809,16,3,1,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,-0.2106607044718917,-0.904415072561711,-0.678773515728442,-0.32789331844000197,Middle-Aged,0.7142857142857143,Low
29,0,153,15,2,4,0,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.8676718124782865,-0.49838220898018415,-0.16451140099023315,0.32522751910309133,Young,0.8181818181818182,Medium
31,0,670,26,1,1,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.6486681098094882,-0.7929685876511051,-0.8073390444129942,-0.32789331844000197,Middle-Aged,0.8333333333333334,Low
34,0,1346,19,2,2,1,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,-0.3201625558062908,-0.850415229357603,-1.0644701017820986,-0.8177339465973219,Middle-Aged,0.5,Low
28,1,103,24,3,3,1,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.9771736638126857,-0.9958701261584556,-0.678773515728442,-0.4911735278257753,Young,0.5714285714285714,Low
29,0,1389,21,4,2,0,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.8676718124782865,0.8313926532418284,-0.16451140099023315,0.48850772848886465,Young,0.9090909090909091,High
32,0,334,5,2,1,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.5391662584750891,-0.7040411862894465,-0.5502079870438897,-0.16461310905422863,Middle-Aged,0.75,Low
22,0,1123,16,2,4,1,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,-1.6341847718190805,-0.7874537100472814,-1.3216011591512031,-0.9810141559830953,Young,0.5,Low
53,0,1219,2,4,1,0,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.7603726195472926,2.083040082743004,2.535364701385363,2.9377108692754645,Senior,0.78125,High
38,0,371,2,3,4,1,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.11784484953130571,-0.555599064119856,-0.678773515728442,-0.6544537372115486,Middle-Aged,0.42857142857142855,Medium
24,0,673,11,2,1,0,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,-1.4151810691502822,-0.5402033641425146,-0.8073390444129942,-0.4911735278257753,Young,0.6666666666666666,Medium
36,1,1218,9,4,3,1,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.10115885313749257,-0.6789944505054134,-0.16451140099023315,-0.32789331844000197,Middle-Aged,0.45454545454545453,Low
34,0,419,7,4,1,0,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,-0.3201625558062908,1.2941827988293753,0.2211851850634235,0.8150681472604113,Middle-Aged,0.8571428571428571,High
21,0,391,15,2,3,1,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,-1.7436866231534796,-1.1787802333519448,-1.4501666878357553,-1.1442943653688686,Young,0.0,Low
34,1,699,6,1,2,1,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-0.3201625558062908,-0.7817090458766316,-0.42164245835933756,-0.4911735278257753,Middle-Aged,0.4444444444444444,Low
53,0,1282,5,3,3,0,58,3,5,3,16581,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1.7603726195472926,2.3482137808601977,1.8925370579626022,1.141628566031958,Senior,0.5185185185185185,High
32,1,1125,16,1,2,0,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,-0.5391662584750891,-0.5613437282905058,-0.16451140099023315,0.48850772848886465,Middle-Aged,0.9090909090909091,Medium
42,0,691,8,4,3,1,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.5558522548689022,0.10641603490582537,-0.16451140099023315,0.32522751910309133,Middle-Aged,0.8181818181818182,High
44,0,477,7,4,1,0,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.7748559575377005,0.8929754531511941,1.6354060005934978,2.4478702411181446,Middle-Aged,0.88,High
46,0,705,2,4,2,0,83,3,5,1,16581,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.9938596602064987,2.3482137808601977,1.3782749432243935,-0.8177339465973219,Senior,0.08695652173913043,High
33,0,924,2,3,3,1,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,-0.42966440714069,-0.8883300128838916,-0.5502079870438897,-0.9810141559830953,Middle-Aged,0.125,Low
44,0,1459,10,4,4,1,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.7748559575377005,0.02369287084846844,-0.2930769296747854,-0.4911735278257753,Middle-Aged,0.4,Medium
30,0,125,9,2,4,1,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,-0.7581699611438873,-0.9549681172634291,-0.16451140099023315,0.48850772848886465,Young,0.9090909090909091,Low
39,1,895,5,3,4,1,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0.22734670086570485,-0.9825425052825482,0.9925783571707368,-0.9810141559830953,Middle-Aged,0.05,Low
24,1,813,1,3,2,1,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,-1.4151810691502822,-0.9349766859495678,-0.678773515728442,-0.8177339465973219,Young,0.2857142857142857,Low
43,0,1273,2,2,4,0,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.6653541062033014,-0.8540918144268189,-0.678773515728442,-0.32789331844000197,Middle-Aged,0.7142857142857143,Low
50,1,869,3,2,1,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,1.4318670655440953,-0.8453599248874312,-1.0644701017820986,-0.6544537372115486,Senior,0.75,Low
35,0,890,2,3,4,0,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,-0.2106607044718917,-0.9990871380940195,-1.193035630466651,-0.8177339465973219,Middle-Aged,0.6666666666666666,Low
36,0,852,5,4,2,0,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,-0.10115885313749257,-0.6762370117035015,-0.678773515728442,-0.9810141559830953,Middle-Aged,0.14285714285714285,Low
33,0,1141,1,3,3,0,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.42966440714069,-0.22654470042503624,-0.16451140099023315,-0.32789331844000197,Middle-Aged,0.45454545454545453,Medium
35,0,464,4,2,3,1,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-0.2106607044718917,-1.013563691804057,-1.3216011591512031,-0.9810141559830953,Middle-Aged,0.5,Low
27,0,1240,2,4,4,0,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-1.0866755151470848,-0.9239469307419202,-1.3216011591512031,-0.9810141559830953,Young,0.5,Low
26,1,1357,25,3,1,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-1.1961773664814839,-0.9349766859495678,-1.3216011591512031,-0.9810141559830953,Young,0.5,Low
27,0,994,8,3,4,1,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-1.0866755151470848,0.5432402984420351,-0.2930769296747854,0.32522751910309133,Young,0.9,High
30,0,721,1,2,3,0,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,-0.7581699611438873,-0.5402033641425146,0.09261965637887129,0.8150681472604113,Young,0.9230769230769231,Medium
41,1,1360,12,3,2,0,49,3,5,3,16581,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0.4463504035345031,2.3482137808601977,1.5068404719089457,2.4478702411181446,Middle-Aged,0.9166666666666666,High
34,0,1065,23,4,2,1,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.3201625558062908,-0.41221224642043736,-0.16451140099023315,0.32522751910309133,Middle-Aged,0.8181818181818182,Medium
37,0,408,19,2,2,1,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.008342998196906572,-0.7674622787334201,-0.42164245835933756,-0.9810141559830953,Middle-Aged,0.1111111111111111,Low
46,0,1211,5,4,1,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,0.9938596602064987,-0.13554921996194363,0.34975071374797573,0.32522751910309133,Senior,0.6,Medium
35,0,1229,8,1,4,1,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.2106607044718917,-0.9404915635533917,-1.3216011591512031,-0.9810141559830953,Middle-Aged,0.5,Low
48,1,626,1,2,1,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.2128633628752972,-0.2253957675909063,1.5068404719089457,-0.9810141559830953,Senior,0.041666666666666664,Medium
28,1,1434,5,4,3,1,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,-0.9771736638126857,-0.6711817072333297,-1.193035630466651,-0.8177339465973219,Young,0.6666666666666666,Low
44,0,1488,1,5,2,0,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.7748559575377005,-0.20862134821260891,-0.2930769296747854,-0.4911735278257753,Middle-Aged,0.4,Medium
